Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2023,NL East,90,72,2,4.91,162,6207,5541,796,1417,291,29,220,771,141,26,539,1481,.256,.327,.438,.765,91,117,.984,28.4
2022,NL East,87,75,3,4.61,162,6077,5496,747,1392,255,29,205,719,105,28,478,1363,.253,.317,.422,.739,69,129,.988,28.2
2021,NL East,82,80,2,4.53,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,.240,.318,.408,.726,94,142,.984,29.1
2020,NL East,28,32,3,5.10,60,2223,1948,306,500,90,10,82,289,35,8,229,480,.257,.342,.439,.781,35,57,.983,28.5
2019,NL East,81,81,4,4.78,162,6261,5571,774,1369,311,26,215,742,78,18,562,1453,.246,.319,.427,.746,97,136,.984,27.6
2018,NL East,80,82,3,4.18,162,6136,5424,677,1271,241,30,186,653,69,26,582,1520,.234,.314,.393,.707,123,138,.979,26.7
2017,NL East,66,96,5,4.26,162,6133,5535,690,1382,287,36,174,654,59,25,494,1417,.250,.315,.409,.723,82,145,.986,26.6
2016,NL East,71,91,4,3.77,162,5992,5434,610,1305,231,35,161,574,96,45,424,1376,.240,.301,.384,.685,97,142,.984,26.9
2015,NL East,63,99,5,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,.249,.303,.382,.684,117,145,.981,28.0
2014,NL East,73,89,5,3.82,162,6198,5603,619,1356,251,27,125,584,109,26,443,1306,.242,.302,.363,.665,83,133,.987,30.8
2013,NL East,73,89,4,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,.248,.306,.384,.690,97,141,.984,30.0
2012,NL East,81,81,3,4.22,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,.255,.317,.400,.716,101,118,.983,31.1
2011,NL East,102,60,1,4.40,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,.253,.323,.395,.717,74,135,.988,31.4
2010,NL East,97,65,1,4.77,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,.260,.332,.413,.745,83,158,.986,31.8
